timestamp,Timestamp (Shimmer),ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_P,GYRO_R,GYRO_Y,GSR_RES,GSR_CON,PPG_RAW,HEART_RATE,HRV,Time since load,Time
349630.6443,502547.7813,-7.82525444,1.424296856,6.049072266,-0.717557251,-0.702290058,-1.282442689,1341.250977,2297,1286.446899,67.96459961,882.8125,234.375,0.2263467
349630.6523,502555.5938,-7.839616776,1.397965312,6.053860188,-0.366412222,-1.282442689,-1.450381637,1338.795654,2300,1285.714233,67.96459961,882.8125,242.1875,0.234377
349630.6605,502563.4063,-7.851585865,1.426690578,6.096948147,-0.641221344,-1.206106901,-1.419847369,1342.892944,2295,1290.842529,67.96459961,882.8125,250,0.2425462
349630.6702,502571.2188,-7.822860718,1.409934163,6.08737278,-0.763358772,-1.297709942,-0.992366433,1338.795654,2300,1294.505493,67.96459961,882.8125,257.8125,0.2522923
349630.6706,502579.0313,-7.837223053,1.39557147,6.070616245,-0.732824445,-1.06870234,-1.267175555,1341.250977,2297,1296.703247,67.96459961,882.8125,265.625,0.2527056
349630.6862,502586.8438,-7.818072796,1.421903014,6.053860188,-0.900763333,-0.931297719,-1.236641169,1342.071411,2296,1296.703247,67.96459961,882.8125,273.4375,0.2682527
349630.6865,502594.6563,-7.789347649,1.397965312,6.05625391,-0.687022924,-1.343511462,-1.664122105,1338.795654,2300,1298.168457,67.96459961,882.8125,281.25,0.268548
349630.6962,502602.4688,-7.832435608,1.421903014,6.073009968,-0.732824445,-1.328244328,-1.603053451,1343.715454,2294,1303.296753,67.96459961,882.8125,289.0625,0.2782841
349630.7091,502610.2813,-7.858767033,1.412328005,6.084979057,-1.007633567,-1.282442689,-1.435114503,1340.431519,2298,1306.959717,67.96459961,882.8125,296.875,0.2912016
349630.7095,502618.0938,-7.84679842,1.400359035,6.116097927,-1.02290082,-1.297709942,-1.02290082,1340.431519,2298,1307.692261,67.96459961,882.8125,304.6875,0.2915932
349630.7273,502625.9063,-7.789347649,1.41711545,6.106523037,-0.961832047,-1.236641169,-1.297709942,1343.715454,2294,1308.424927,67.96459961,882.8125,312.5,0.3093581
349630.7277,502633.7188,-7.784560204,1.421903014,6.075404167,-0.763358772,-0.916030526,-1.175572515,1338.795654,2300,1311.355347,67.96459961,882.8125,320.3125,0.309757
349630.734,502641.5313,-7.779772758,1.419509292,6.0658288,-0.900763333,-1.175572515,-1.419847369,1344.53894,2293,1313.553101,67.96459961,882.8125,328.125,0.3160923
349630.74,502649.3438,-7.822860718,1.41711545,6.106523037,-0.809160292,-1.282442689,-1.862595439,1341.250977,2297,1312.820557,67.96459961,882.8125,335.9375,0.3220792
349630.75,502657.1563,-7.85637331,1.409934163,6.111310482,-0.946564913,-0.671755731,-1.603053451,1341.250977,2297,1312.087891,67.96459961,882.8125,343.75,0.3320713
349630.766,502664.9688,-7.8683424,1.421903014,6.092160225,-0.412213743,-1.06870234,-1.389312983,1343.715454,2294,1315.750977,67.96459961,882.8125,351.5625,0.3480301
349630.771,502672.7813,-7.801316738,1.41711545,6.089766502,-0.274809152,-0.732824445,-1.419847369,1340.431519,2298,1317.94873,67.96459961,882.8125,359.375,0.3530771
349630.7819,502680.5938,-7.755835056,1.407540441,6.111310482,-0.48854962,-0.671755731,-1.664122105,1344.53894,2293,1323.80957,67.96459961,882.8125,367.1875,0.3640076
349630.7822,502688.4063,-7.755835056,1.431478143,6.08737278,-0.610687017,-0.076335877,-1.358778596,1342.892944,2295,1326.007324,67.96459961,882.8125,375,0.3642879
349630.7889,502696.2188,-7.806104183,1.424296856,6.106523037,-0.564885497,-0.183206111,-1.51145041,1340.431519,2298,1328.937744,67.96459961,882.8125,382.8125,0.3709728
349630.8049,502704.0313,-7.806104183,1.441053271,6.096948147,-0.793893158,-0.091603056,-1.358778596,1344.53894,2293,1328.205078,67.96459961,882.8125,390.625,0.3869377
349630.8099,502711.8438,-7.827648163,1.405146599,6.058647633,-0.992366433,0.015267176,-1.435114503,1338.795654,2300,1328.205078,67.96459961,882.8125,398.4375,0.3919342
349630.819,502719.6563,-7.863554955,1.390783906,6.058647633,-1.328244328,-0.24427481,-1.526717544,1342.892944,2295,1326.007324,67.96459961,882.8125,406.25,0.401053
349630.8248,502727.4688,-7.894673824,1.376421332,6.041891098,-0.4427481,-0.854961812,-1.419847369,1342.892944,2295,1322.34436,67.96459961,882.8125,414.0625,0.4068861
349630.8378,502735.2813,-7.916217804,1.378815055,6.058647633,-0.152671754,-1.267175555,-1.282442689,1339.613037,2299,1316.483521,67.96459961,882.8125,421.875,0.4198634
349630.8472,502743.0938,-7.901854992,1.412328005,6.05625391,-0.687022924,-1.236641169,-1.206106901,1344.53894,2293,1310.622681,67.96459961,882.8125,429.6875,0.4293168
349630.8475,502750.9063,-7.837223053,1.414721727,6.073009968,-0.717557251,-1.633587837,-1.46564889,1340.431519,2298,1308.424927,67.96459961,882.8125,437.5,0.4296056
349630.8478,502758.7188,-7.818072796,1.400359035,6.070616245,-0.351145029,-1.587786317,-1.740458012,1342.071411,2296,1308.424927,67.96459961,882.8125,445.3125,0.429889
349630.8593,502766.5313,-7.830041885,1.385996461,6.075404167,-0.503816783,-1.587786317,-1.496183157,1344.53894,2293,1309.890137,67.96459961,882.8125,453.125,0.4413677
349630.8693,502774.3438,-7.839616776,1.407540441,6.073009968,-0.381679386,-1.526717544,-1.328244328,1340.431519,2298,1312.087891,67.96459961,882.8125,460.9375,0.451355
349630.9001,502782.1563,-7.830041885,1.448234558,6.08737278,-0.19847329,-1.832061052,-1.160305381,1344.53894,2293,1313.553101,67.96459961,882.8125,468.75,0.4821913
349630.9021,502789.9688,-7.763016224,1.464990973,6.116097927,-0.519083977,-1.282442689,-1.572519064,1342.071411,2296,1321.611694,67.96459961,882.8125,476.5625,0.484189
349630.9027,502797.7813,-7.784560204,1.431478143,6.101735592,-1.02290082,-1.389312983,-1.435114503,1342.892944,2295,1336.996338,67.96459961,882.8125,484.375,0.4847325
349630.903,502805.5938,-7.803710461,1.421903014,6.094553947,-0.992366433,-1.526717544,-1.312977076,1345.363403,2292,1357.509155,67.96459961,882.8125,492.1875,0.4850968
349630.9052,502813.4063,-7.820466995,1.402752876,6.089766502,-1.007633567,-0.916030526,-1.358778596,1340.431519,2298,1388.278442,67.96459961,882.8125,500,0.4872505
349630.919,502821.2188,-7.844404697,1.407540441,6.106523037,-0.854961812,-0.946564913,-1.083969474,1346.188843,2291,1424.175781,67.96459961,882.8125,507.8125,0.5011112
349630.9251,502829.0313,-7.837223053,1.374027491,6.053860188,-0.824427485,-0.809160292,-1.206106901,1342.071411,2296,1466.666626,67.96459961,882.8125,515.625,0.5071526
349630.9361,502836.8438,-7.853979588,1.414721727,6.063435078,-0.946564913,-0.748091578,-1.328244328,1342.071411,2296,1515.018311,67.96459961,882.8125,523.4375,0.5181359
349630.944,502844.6563,-7.842010975,1.385996461,6.058647633,-0.656488538,-1.099236608,-1.175572515,1346.188843,2291,1567.765625,67.96459961,882.8125,531.25,0.5260721
349630.9529,502852.4688,-7.820466995,1.400359035,6.070616245,-0.992366433,-1.11450386,-1.480916023,1341.250977,2297,1622.710571,67.96459961,882.8125,539.0625,0.5350263
349630.9599,502860.2813,-7.803710461,1.443446994,6.053860188,-0.97709924,-0.870229006,-1.526717544,1346.188843,2291,1679.12085,67.96459961,882.8125,546.875,0.5420137
349630.9602,502868.0938,-7.830041885,1.400359035,6.070616245,-1.099236608,-1.297709942,-1.480916023,1344.53894,2293,1730.402954,67.96459961,882.8125,554.6875,0.5422925
349630.9711,502875.9063,-7.853979588,1.388390183,6.063435078,-0.854961812,-1.221374035,-1.46564889,1342.892944,2295,1774.359009,67.96459961,882.8125,562.5,0.5532155
349630.9779,502883.7188,-7.806104183,1.393177748,6.099341869,-0.931297719,-1.374045849,-1.160305381,1347.015381,2290,1813.186768,67.96459961,882.8125,570.3125,0.5600268
349630.9889,502891.5313,-7.789347649,1.393177748,6.106523037,-0.641221344,-0.809160292,-1.587786317,1342.892944,2295,1841.758301,67.96459961,882.8125,578.125,0.5709446
349630.9968,502899.3438,-7.813285351,1.381208897,6.099341869,-0.793893158,-0.717557251,-1.236641169,1344.53894,2293,1856.410278,67.96459961,882.8125,585.9375,0.5789068
349631.0039,502907.1563,-7.82525444,1.409934163,6.089766502,-1.007633567,-0.503816783,-1.206106901,1345.363403,2292,1856.410278,67.96459961,882.8125,593.75,0.5859367
349631.0148,502914.9688,-7.851585865,1.405146599,6.080191612,-0.748091578,-0.427480906,-1.083969474,1342.892944,2295,1843.223389,67.96459961,882.8125,601.5625,0.5968834
349631.0199,502922.7813,-7.822860718,1.374027491,6.084979057,-0.48854962,-0.610687017,-1.099236608,1347.842896,2289,1820.512817,67.96459961,882.8125,609.375,0.6019481
349631.0288,502930.5938,-7.782166481,1.381208897,6.058647633,-0.167938933,-0.137404576,-1.11450386,1344.53894,2293,1791.941406,67.96459961,882.8125,617.1875,0.6108319
349631.0358,502938.4063,-7.786953926,1.41711545,6.080191612,-0.290076345,-0.19847329,-1.190839648,1346.188843,2291,1754.578735,67.96459961,882.8125,625,0.6178579
349631.0497,502946.2188,-7.806104183,1.39557147,6.070616245,-0.381679386,-0.167938933,-1.02290082,1347.015381,2290,1713.553101,67.96459961,882.8125,632.8125,0.6317719
349631.0557,502954.0313,-7.84679842,1.419509292,6.061041355,-0.763358772,0.030534351,-1.236641169,1343.715454,2294,1673.260132,67.96459961,882.8125,640.625,0.6377895
349631.0561,502961.8438,-7.87791729,1.405146599,6.061041355,-0.916030526,-0.305343509,-1.389312983,1347.842896,2289,1631.501831,67.96459961,882.8125,648.4375,0.6382165
349631.076,502969.6563,-7.901854992,1.407540441,6.058647633,-0.641221344,-0.473282456,-1.480916023,1344.53894,2293,1588.278442,67.96459961,882.8125,656.25,0.6580454
349631.0764,502977.4688,-7.892280102,1.412328005,6.061041355,-0.473282456,-0.961832047,-1.190839648,1346.188843,2291,1549.450562,67.96459961,882.8125,664.0625,0.6584484
349631.0768,502985.2813,-7.882704735,1.39557147,6.063435078,-0.549618304,-1.038167953,-1.480916023,1348.671509,2288,1517.216064,67.96459961,882.8125,671.875,0.658845
349631.0937,502993.0938,-7.822860718,1.41711545,6.07779789,-0.641221344,-0.870229006,-1.679389358,1343.715454,2294,1490.109863,76.80000305,781.25,679.6875,0.675784
349631.0941,503000.9063,-7.832435608,1.400359035,6.051465988,-0.763358772,-1.358778596,-1.435114503,1348.671509,2288,1465.934082,76.80000305,781.25,687.5,0.6761763
349631.1008,503008.7188,-7.806104183,1.405146599,6.051465988,-0.320610672,-1.343511462,-1.496183157,1347.015381,2290,1447.619019,76.80000305,781.25,695.3125,0.6828321
349631.1086,503016.5313,-7.839616776,1.385996461,6.032316208,-0.595419824,-1.404580116,-1.480916023,1346.188843,2291,1432.967041,76.80000305,781.25,703.125,0.6906819
349631.1206,503024.3438,-7.827648163,1.414721727,6.041891098,-0.549618304,-1.129770994,-1.404580116,1349.501099,2287,1421.978027,76.80000305,781.25,710.9375,0.7026494
349631.1306,503032.1563,-7.801316738,1.41711545,6.063435078,-0.412213743,-1.053435087,-1.450381637,1344.53894,2293,1409.523804,76.80000305,781.25,718.75,0.7126368
349631.1365,503039.9688,-7.779772758,1.424296856,6.0658288,-0.48854962,-1.435114503,-1.343511462,1348.671509,2288,1401.46521,76.80000305,781.25,726.5625,0.718601
349631.1445,503047.7813,-7.832435608,1.426690578,6.049072266,-0.702290058,-1.389312983,-1.770992398,1347.842896,2289,1396.337036,76.80000305,781.25,734.375,0.7266228
349631.1565,503055.5938,-7.894673824,1.400359035,6.092160225,-0.778625965,-1.694656491,-1.862595439,1345.363403,2292,1391.941406,76.80000305,781.25,742.1875,0.738553
349631.1625,503063.4063,-7.865948677,1.424296856,6.075404167,-0.931297719,-1.664122105,-1.297709942,1350.331665,2286,1390.476196,76.80000305,781.25,750,0.7445967
349631.1704,503071.2188,-7.839616776,1.402752876,6.082585335,-0.793893158,-1.633587837,-1.419847369,1346.188843,2291,1388.278442,76.80000305,781.25,757.8125,0.7524489
349631.1707,503079.0313,-7.810891628,1.421903014,6.068222523,-0.610687017,-1.55725193,-1.587786317,1349.501099,2287,1385.348022,76.80000305,781.25,765.625,0.7527501
349631.1803,503086.8438,-7.794135094,1.412328005,6.106523037,-0.900763333,-1.709923625,-1.786259532,1348.671509,2288,1383.150146,76.80000305,781.25,773.4375,0.7624205
349631.1886,503094.6563,-7.842010975,1.383602619,6.096948147,-0.854961812,-1.679389358,-1.389312983,1346.188843,2291,1380.952393,76.80000305,781.25,781.25,0.7706504
349631.1974,503102.4688,-7.8683424,1.388390183,6.094553947,-0.931297719,-1.526717544,-1.297709942,1351.16333,2285,1383.882813,76.80000305,781.25,789.0625,0.779453
349631.2093,503110.2813,-7.806104183,1.397965312,6.120885849,-0.473282456,-1.083969474,-1.038167953,1347.842896,2289,1390.476196,76.80000305,781.25,796.875,0.7914072
349631.2096,503118.0938,-7.779772758,1.378815055,6.080191612,-0.595419824,-0.549618304,-1.282442689,1348.671509,2288,1398.53479,76.80000305,781.25,804.6875,0.7916994
349631.2185,503125.9063,-7.753440857,1.405146599,6.123279572,-0.625954211,-0.412213743,-1.55725193,1351.16333,2285,1405.86084,76.80000305,781.25,812.5,0.8005786
